language;fr;en
january;Janvier;January
february;Février;February
march;Mars;March
april;Avril;April
may;Mai;May
june;Juin;June
july;Juillet;July
august;Août;August
september;Septembre;September
october;Octobre;October
november;Novembre;November
december;Décembre;December
connection;Connexion;Login
disconnection;Déconnexion;Logout
treatment;Traitement en cours..;Treatment in progress
pwd_required;Vous devez choisir un mot de passe;You have to choose a password
wrong_pwd;Le mot de passe est erroné;Wrong password
invalid_connection;Nom d'utilisateur ou mot de passe invalide;Invalid username or password
disconnection_success;Déconnexion réussie;Logout successful
existing_login;Ce login existe déjà;Login already exists
pwd_not_identical;Les mots de passe ne sont pas identiques;Password not identical
pwd_requird;Un mot de passe est obligatoire;Password required
message;Message;Message
manage_admin;Gestion utilisateur;Manage user
no_message; ; 
disconnection_progress;Déconnexion en cours;Logout in progress
add;Ajouter;Add
modify;Modifier;Modify
apply;Appliquer;Apply
send;Envoyer;Send
delete_confirm;Etes-vous certain de vouloir supprimer ce contenu ?;Do you really want to delete this content ?
delete_button;Supprimer ce contenu;Remove this content
delete_completed;Suppression effectuée;Delete operation completed
no_rights;Aucun droit;No rights
login;Nom d'utilisateur;Login
name;Nom;Name
note;Note;Note
description;Description;Description
mail;Mail;Mail
wrong_captcha;Captcha erroné;Wrong captcha
newsNview;News;News and Views
file;Fichier;File
image_right;Image à droite;Image right
image_left;Image à gauche;Image left
no_picture_in_galery;Cette galerie ne comporte aucune image;There isn't any picture in this galery
form_choice;Choix du formulaire;Select form
form_list;Liste des formulaires;Form list
galery_list;Liste des galeries;Galeries list
no_form_choice;Aucun formulaire déjà existant;No form already created
galery_choice;Choix de la galerie;Select galery
no_galery_choice;Aucune galerie existante;No galery already created
receiver;m@il cible;Target m@il
category;Catégorie;Category
surname;Nom;Surname
add_picture;Ajouter une image;Add a picture
add_file;Ajouter un fichier;Add a file
remove_picture;Retirer cette image;Remove this picture
remove_field;Retirer ce champs;Remove this field
private;Privé;Private
first_name;Prénom;First name
module_choice;Choix du module;Module choice
menu_title;Nom du menu;Menu title
news_subject;Catégorie;News category
help_message;Message d'aide;Help message
page_list;Liste des pages;Pages list
create_menu;Créer une page;Create a new page
not_null;Ce champs est requis;This field have to be completed
pwd;Mot de passe;Password
create_news;Ajouter une news;Add news
supp_picture_confirmation;Etes-vous sur de vouloir supprimer cette image ?;Do you really want to delete this picture ?
create_form;Créer un formulaire;Create form
create_galery;Créer une galerie;Create galery
